"ID2","ID1","ID","AREA","LAYER","FEATURE","SK NO","BURIAL NUMBER","LEVEL NUMBER","REDUCED VALUE","PLAN","SECTION","LOCATION","LEVEL BOOK","PAGE","WHICH TBM","DATE","NOTES","SF NUMBER","ID3"
1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,"0600",,,,,,,,,,,,,,,1
2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,,"0601",,,,,,,,,,,,,,,2
3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,,"0602",,,,8.0000000000000000e+00,"18.26","PLAN002",,"E END","1","41","1","01/02/06 00:00:00",,,3
4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+00,,,"FA",,,1.0000000000000000e+00,"18.45","PLAN002",,"E END, TOP","1","41","1","01/02/06 00:00:00",,,4
5.0000000000000000e+00,5.0000000000000000e+00,5.0000000000000000e+00,,,"FA",,,2.0000000000000000e+00,"18.68","PLAN002",,"TOP, 4M W OF E END","1","41","1","01/02/06 00:00:00",,,5
6.0000000000000000e+00,6.0000000000000000e+00,6.0000000000000000e+00,,,"FC",,,3.0000000000000000e+00,"18.49","PLAN002",,"E END, TOP","1","41","1","01/02/06 00:00:00",,,6
7.0000000000000000e+00,7.0000000000000000e+00,7.0000000000000000e+00,,,"FC",,,4.0000000000000000e+00,"18.55","PLAN002",,"TOP, 4M W OF E END","1","41","1","01/02/06 00:00:00",,,7
8.0000000000000000e+00,8.0000000000000000e+00,8.0000000000000000e+00,,,"FC",,,5.0000000000000000e+00,"18.37","PLAN002",,"GAP IN FC","1","41","1","01/02/06 00:00:00",,,8
1.0000000000000000e+01,1.0000000000000000e+01,1.0000000000000000e+01,,"0603",,,,7.0000000000000000e+00,"18.27","PLAN002",,"E END","1","41","1","01/02/06 00:00:00",,,10
1.1000000000000000e+01,1.1000000000000000e+01,1.1000000000000000e+01,,"0604",,,,9.0000000000000000e+00,"18.28","PLAN002",,"E END","1","41","1","01/02/06 00:00:00",,,11
1.2000000000000000e+01,1.2000000000000000e+01,1.2000000000000000e+01,,,"FE",,,1.0000000000000000e+01,"18.45","PLAN002",,"TOP","1","41","1","01/02/06 00:00:00",,,12
1.3000000000000000e+01,1.3000000000000000e+01,1.3000000000000000e+01,,,"FD",,,1.1000000000000000e+01,"18.57","PLAN002",,"TOP OF BRICK FACING ON N SIDE","1","41","1","01/02/06 00:00:00",,,13
1.4000000000000000e+01,1.4000000000000000e+01,1.4000000000000000e+01,,,"FJ",,,1.2000000000000000e+01,"18.56","PLAN002",,"TOP OF CONCRETE FJ","1","41","1","01/02/06 00:00:00",,,14
1.5000000000000000e+01,1.5000000000000000e+01,1.5000000000000000e+01,,,"FI",,,1.3000000000000000e+01,"18.49","PLAN002",,"TOP AT N END","1","41",,"03/02/06 00:00:00",,,15
1.6000000000000000e+01,1.6000000000000000e+01,1.6000000000000000e+01,,,"FI",,,1.4000000000000000e+01,"18.48","PLAN002",,"TOP AT FH","1","41",,,,,16
1.7000000000000000e+01,1.7000000000000000e+01,1.7000000000000000e+01,,,"FI",,,1.5000000000000000e+01,"18.52","PLAN002",,"TOP AT S END","1","41",,,,,17
1.8000000000000000e+01,1.8000000000000000e+01,1.8000000000000000e+01,,,"FN",,,1.6000000000000000e+01,"18.44","PLAN002",,"WALL TOP","1","41",,,,,18
1.9000000000000000e+01,1.9000000000000000e+01,1.9000000000000000e+01,,,"FL",,,1.7000000000000000e+01,"18.46","PLAN002",,"RUBBLE S OF FJ - UPPER","1","41",,,,,19
2.0000000000000000e+01,2.0000000000000000e+01,2.0000000000000000e+01,,,"FL",,,1.8000000000000000e+01,"18.38","PLAN002",,"RUBBLE S OF FJ - LOWER","1","41",,,,,20
2.1000000000000000e+01,2.1000000000000000e+01,2.1000000000000000e+01,,"0608",,,,1.9000000000000000e+01,"18.34","PLAN002",,"SOIL IN ANGLE FI/FH","1","41",,,,,21
2.2000000000000000e+01,2.2000000000000000e+01,2.2000000000000000e+01,,,"FK",,,2.0000000000000000e+01,"18.46","PLAN002",,"TOP AT NE CORNER","1","42",,,,,22
2.3000000000000000e+01,2.3000000000000000e+01,2.3000000000000000e+01,,,"FK",,,2.1000000000000000e+01,"18.47","PLAN002",,"TOP AT SE CORNER","1","42",,,,,23
2.4000000000000000e+01,2.4000000000000000e+01,2.4000000000000000e+01,,,"FM",,,2.2000000000000000e+01,"18.45","PLAN002",,"TOP OF WALL","1","42",,"02/02/06 00:00:00",,,24
2.5000000000000000e+01,2.5000000000000000e+01,2.5000000000000000e+01,,,"FX",,,2.3000000000000000e+01,"18.54","PLAN002",,"TOP OF WALL AT N END","1","42",,,,,25
2.6000000000000000e+01,2.6000000000000000e+01,2.6000000000000000e+01,,,"GB",,,2.4000000000000000e+01,"18.51","PLAN002",,"TOP OF WALL","1","42",,,,,26
2.7000000000000000e+01,2.7000000000000000e+01,2.7000000000000000e+01,,"0623",,,,2.5000000000000000e+01,"18.26","PLAN002",,"SOIL","1","42",,,,,27
2.8000000000000000e+01,2.8000000000000000e+01,2.8000000000000000e+01,,,"FZ",,,2.6000000000000000e+01,"18.56","PLAN002",,"TOP OF WALL AT E END","1","42",,,,,28
2.9000000000000000e+01,2.9000000000000000e+01,2.9000000000000000e+01,,,"FW",,,2.7000000000000000e+01,"18.53","PLAN002",,"TOP OF WALL AT W END","1","42",,,,,29
3.0000000000000000e+01,3.0000000000000000e+01,3.0000000000000000e+01,,"0629",,,,2.8000000000000000e+01,"18.37","PLAN002",,"TOP OF GRAVESTONE","1","42",,,,,30
3.1000000000000000e+01,3.1000000000000000e+01,3.1000000000000000e+01,,,"FZ",,,2.9000000000000000e+01,"18.51","PLAN002",,"TOP OF WALL AT W END","1","42",,,,,31
3.2000000000000000e+01,3.2000000000000000e+01,3.2000000000000000e+01,,,"GH",,,3.0000000000000000e+01,"18.52","PLAN002",,"TOP AT S END","1","42",,,,,32
3.4000000000000000e+01,3.4000000000000000e+01,3.4000000000000000e+01,,,"FW",,,3.2000000000000000e+01,"18.48","PLAN002",,"TOP AT MIDDLE","1","42",,,,,34
3.5000000000000000e+01,3.5000000000000000e+01,3.5000000000000000e+01,,"0610","FO",,,1.0000000000000000e+00,"18.54","PLAN003",,"EAST","1","43",,"02/02/06 00:00:00",,,35
3.6000000000000000e+01,3.6000000000000000e+01,3.6000000000000000e+01,,"0610","FO",,,2.0000000000000000e+00,"18.53","PLAN003",,"WEST","1","43",,,,,36
3.7000000000000000e+01,3.7000000000000000e+01,3.7000000000000000e+01,,"0611",,,,3.0000000000000000e+00,"18.44","PLAN003",,"CENTRE","1","43",,,,,37
3.8000000000000000e+01,3.8000000000000000e+01,3.8000000000000000e+01,,"0612",,,,4.0000000000000000e+00,"18.36","PLAN003",,"CENTRE","1","43",,,,,38
3.9000000000000000e+01,3.9000000000000000e+01,3.9000000000000000e+01,,"0613","FP",,,5.0000000000000000e+00,"18.60","PLAN003",,"NORTH","1","43",,,,,39
4.0000000000000000e+01,4.0000000000000000e+01,4.0000000000000000e+01,,"0614",,,,6.0000000000000000e+00,"18.47","PLAN003",,"NORTH EAST","1","43",,,,,40
4.1000000000000000e+01,4.1000000000000000e+01,4.1000000000000000e+01,,"0613","FP",,,7.0000000000000000e+00,"18.49","PLAN003",,"SOUTH","1","43",,,,,41
4.2000000000000000e+01,4.2000000000000000e+01,4.2000000000000000e+01,,"0614",,,,8.0000000000000000e+00,"18.41","PLAN003",,"SOUTH EAST","1","43",,,,,42
4.3000000000000000e+01,4.3000000000000000e+01,4.3000000000000000e+01,,"0614",,,,9.0000000000000000e+00,"18.46","PLAN003",,,"1","43",,,,,43
4.4000000000000000e+01,4.4000000000000000e+01,4.4000000000000000e+01,,"0615",,,,1.0000000000000000e+01,"18.40","PLAN003",,,"1","43",,,,,44
4.5000000000000000e+01,4.5000000000000000e+01,4.5000000000000000e+01,,"0617","FT",,,1.1000000000000000e+01,"18.51","PLAN003",,,"1","43",,,,,45
4.6000000000000000e+01,4.6000000000000000e+01,4.6000000000000000e+01,,"0614",,,,1.2000000000000000e+01,"18.50","PLAN003",,"NORTH WEST","1","43",,,,,46
4.7000000000000000e+01,4.7000000000000000e+01,4.7000000000000000e+01,,"0616","FQ",,,1.3000000000000000e+01,"18.59","PLAN003",,,"1","43",,,,,47
4.8000000000000000e+01,4.8000000000000000e+01,4.8000000000000000e+01,,"0617","FT",,,1.4000000000000000e+01,"18.67","PLAN003",,,"1","43",,,,,48
4.9000000000000000e+01,4.9000000000000000e+01,4.9000000000000000e+01,,"0621","FV",,,1.5000000000000000e+01,"18.78","PLAN003",,,"1","43",,,,,49
5.1000000000000000e+01,5.1000000000000000e+01,5.1000000000000000e+01,,"0618",,,,1.7000000000000000e+01,"18.24","PLAN003",,,"1","43",,,,,51
